TitleName,PersonName,AverageRatings
"006 kaçis","Ferhat Alpözen",21
"111 Girls","Bijan Zmanpira",74
"111 Girls","Nahid Ghobadi",74
"41 el hombre perfecto","Pepe Romay",12
"A Aa E Ee",Sabapathy,26
"A Bizarre Love Triangle","Mu-yeong Lee",131
"A Boy of Flanders","Victor Schertzinger",9
"A Case of Murder","Clive Morris",30
"A Cry in the Wild","Mark Griffiths",846
"A pugni nudi","Marcello Zeani",7
"A Time for Heaven","Craig McMahon",63
"A Utopia do Padre Himalaya","Jorge António",5
"A Young Girl in Her Nineties","Valeria Bruni Tedeschi",34
"A Young Girl in Her Nineties","Yann Coridian",34
Ahalya,Thoma,5
"America Is Hard to See","Emile de Antonio",26
"Americanos: Latino Life in the United States","Andrew Young",21
"Americanos: Latino Life in the United States","Susan Todd",21
"And Quiet Rolls the Dawn","Mrinal Sen",149
"Ants on a Shrimp","Maurice Dekkers",350
Arakure,"Yasuharu Hasebe",27
"Arizona Mahoney","James P. Hogan",21
"Arnold Böcklin - Der Traum vom Tod","Artem Demenok",8
Attica,"Cinda Firestone",39
Augie,"James Keach",14
Australia,"Claudiu Mitcu",15
"Avenge Every Second","Hans Magnus Kvåle",8
"Axe: Music of a People","Chico Kertész",48
"Bajo la metralla","Felipe Cazals",64
Bakenbardy,"Yuri Mamin",306
"Bakula Namdev Ghotale","Kedar Shinde",24
"Bani Adam","Majid Abdurrazzaq",5
"Bara en kypare","Alf Kjellin",39
"Bay City","Rodney Dwira",33
"Becoming Zlatan","Fredrik Gertten",2073
"Becoming Zlatan","Magnus Gertten",2073
"Beddua: The Curse","Alper Mestçi",622
"Belfast, Maine","Frederick Wiseman",172
"Birth of a Nation","Jonas Mekas",56
"Blazing Battle","Imam Tantowi",12
"Blood Stained Shoes","Wai Man Yip",115
Bloodletting,"Matthew Jason Walsh",279
"Blue Like Jazz","Steve Taylor",2803
Bouton,"Res Balzli",20
"Boy Bye","Chris Stokes",296
"Bragging Rights: Stickball Stories","Sonia Gonzalez-Martinez",16
"Brave Girl Boxer from Shanghai","Ching-Hua Fu",7
"Brave Girl Boxer from Shanghai","Han-Hsiang Yu",7
"Break Away","Hee-il Leesong",8
"Bredo Greve - Filmrebell","Aleksander U. Serigstad",28
Brother,"Kon Ichikawa",284
Captured,"Joe Arias",20
Cardiopulitika,"Svetlana Strelnikova",8
"Cariño brutal","Romy Suzara",29
Carrie,"Kimberly Peirce",124134
"Ceux de demain","Adelqui Migliar",22
"Ceux de demain","George Pallu",22
Cham,"Charles Méré",17
Cham,"Jan Nowina-Przybylski",17
Chicherin,"Aleksandr Zarkhi",14
"Chori Mera Kaam",Brij,104
"Chronicles of the Ghostly Tribe","Chuan Lu",1138
"Cinderella: The Enchanted Beginning","Steven Salgado",49
CityLights,"Hansal Mehta",3928
"Closing Numbers","Stephen Whittaker",83
"Clubhouse Detectives","Eric Hendershot",355
"Comme les anges déchus de la planète Saint-Michel","Jean Schmidt",7
Comrades,"Hans Schweikart",13
"Cripples Go Christmas","Ralf Huettner",8
"Dark World","Anton Megerdichev",924
"Davaro: Son Eskiya","Kartal Tibet",7251
"Day of the Panther","Brian Trenchard-Smith",298
"Days of Love","Menahem Golan",135
"Death in the Saddle","Jindrich Polák",28
"Death Stalks Us","Memduh Ün",8
"Den khomyachka","Vitaliy Mukhametzyanov",89
"Dennis P.","Pieter Kuijpers",727
"Der Kanacke","Alexander Kiening",8
"Detective Story","Kichitaro Negishi",109
"Deystvuy, Manya!","Roman Ershov",68
"Diary of the Dead","George A. Romero",44014
"Die Hallo-Sisters","Ottokar Runze",11
"Doing Time for Patsy Cline","Chris Kennedy",288
"Dragon Ball Z: The Return of Cooler","Daisuke Nishio",5698
"Drawn Out Love","Boudewijn Koole",132
"Dream Crimes","Naosuke Kurosawa",29
"E.N.D. The Movie","Allegra Bernardoni",41
"E.N.D. The Movie","Domiziano Cristopharo",41
"E.N.D. The Movie","Federico Greco",41
"E.N.D. The Movie","Luca Alessandro",41
"East of Berlin","Jesús Franco",87
"East of Berlin","Pierre Chevalier",87
"Egy csók és más semmi","Ákos Ráthonyi",57
Ehesanatorium,"Franz Antel",29
"Ella & Él","Frank Pérez-Garland",48
"Enough Praying","Aldo Francia",67
"Eu Transo, Ela Transa","Pedro Camargo",34
"Evliya Çelebi ve Ölümsüzlük Suyu","Serkan Zelzele",188
Explorer,"Pramod Pati",14
"Fado Camané","Bruno de Almeida",24
"Fahrt ins Glück","Erich Engel",9
"Fasuna to Chibusa","Koji Shirakawa",7
"Fatcap Express","Danny Stolker",6
Father,"István Szabó",748
"Faust Sonnengesang","Werner Fritsch",5
"Film Stars Don't Die in Liverpool","Paul McGuigan",6291
"Fire City: End of Days","Tom Woodruff Jr.",595
"Flames of Passion","Graham Cutts",7
"Flesh and Spirit","Joseph Levering",9
"Flygplan saknas","Per Gunvall",8
